Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
HOU,A+,2022.0,23.23,36.4,9.43,5.7,2.23,1.29,0.23,0.13,0.1,0.26,1.68,0.32,0.65,6.34,5.56,0.78,5.38
HOU,AA,2022.0,24.33,39.38,9.75,5.51,2.19,1.1,0.24,0.13,0.12,0.26,1.68,0.33,0.68,6.07,5.28,0.79,5.39
HOU,AAA,2022.0,26.94,41.07,9.17,5.2,2.19,1.16,0.23,0.12,0.11,0.25,1.57,0.31,0.68,5.46,5.45,0.01,5.6
HOU,CPX,2022.0,22.61,11.31,10.4,5.52,2.37,0.65,0.27,0.11,0.16,0.2,1.5,0.27,0.71,5.67,4.83,0.83,4.73
HOU,DSL,2022.0,19.04,18.72,9.99,7.2,2.19,0.5,0.25,0.15,0.09,0.24,1.77,0.32,0.65,6.11,5.05,1.06,4.97
KCR,A,2022.0,21.97,33.46,9.27,4.55,2.82,0.85,0.24,0.11,0.13,0.23,1.41,0.29,0.68,4.53,4.73,-0.2,4.81
KCR,A+,2022.0,23.47,31.32,9.23,4.58,2.48,0.91,0.23,0.11,0.12,0.25,1.5,0.32,0.71,5.21,4.72,0.49,4.8
KCR,AA,2022.0,24.57,32.22,8.41,6.91,1.73,1.06,0.2,0.13,0.07,0.27,1.94,0.33,0.65,8.35,6.25,2.1,6.78
KCR,AAA,2022.0,26.48,25.54,9.08,5.05,2.52,0.93,0.23,0.11,0.13,0.23,1.6,0.3,0.72,5.12,4.63,0.49,5.05
KCR,CPX,2022.0,22.15,9.65,11.64,4.15,3.98,1.4,0.3,0.07,0.22,0.23,1.54,0.32,0.71,6.51,5.48,1.03,4.47
KCR,DSL,2022.0,18.23,15.0,8.19,5.07,2.19,0.27,0.2,0.11,0.09,0.24,1.56,0.31,0.65,4.8,4.48,0.33,4.79
LAA,A,2022.0,22.31,32.26,10.47,4.48,2.64,0.76,0.27,0.1,0.16,0.24,1.5,0.31,0.67,5.6,4.72,0.88,4.93
LAA,A+,2022.0,23.0,41.45,9.78,3.62,3.36,0.76,0.25,0.09,0.16,0.25,1.39,0.33,0.66,4.5,3.99,0.51,4.26
