Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Roni Cabrera","TEX","DSL",16,130,0.1,0.24615385,0.40625,0.21428571,0.30769231,0.3125,0.62019231,0.09821429,7.601220165269666,0.275,0.7295233872719109,13.954469013016002,-4.761152219970447,0.31129176158171434,74.56054404660169,"sa3018575"
"Enderson Delgado","TBR","DSL",17,119,0.09243697,0.17647059,0.52380952,0.21782178,0.32773109,0.24752475,0.57525584,0.02970297,3.738596655779108,0.27160494,-0.5764326294884086,12.328698298030444,-4.803293446011,0.3066906493251063,71.96301797377646,"sa3018576"
"Carlos Tirado","PIT","DSL",17,172,0.18023256,0.16860465,1.06896552,0.26515152,0.4244186,0.38636364,0.81078224,0.12121212,5.5600599360421326,0.32038835,0.6665238356217742,31.835850493844042,7.073643939431199,0.4069545177852406,128.56629082665742,"sa3018577"
"Luis Sanchez","ATL","DSL",18,132,0.15909091,0.07575758,2.1,0.28712871,0.43181818,0.34653465,0.77835283,0.05940594,6.163854785415065,0.30107527,2.1505892865825444,24.065371288326578,5.061817420986491,0.4035355958974723,126.63616214273392,"sa3018578"
"Yanki Jean-Baptiste","CLE","DSL",17,132,0.12121212,0.40151515,0.30188679,0.20909091,0.32575758,0.39090909,0.71666667,0.18181818,8.406565827024705,0.35714286,0.5273059234023094,18.100202419582985,-0.9033514477571042,0.34793354254780395,95.24640783474914,"sa3018579"
"Franyerber Montilla","DET","DSL",17,216,0.17592593,0.28703704,0.61290323,0.21022727,0.35185185,0.35227273,0.70412458,0.14204546,7.127244758126505,0.30357143,-0.7814082044642419,30.75474819164745,-0.3419763185454185,0.354405810435613,98.9002818659138,"sa3018580"
"Jose Fernandez","TOR","DSL",17,160,0.14375,0.2375,0.60526316,0.19230769,0.33333333,0.26923077,0.6025641,0.07692308,6.153380131104051,0.26086957,-0.16423658863641322,18.130989970140465,-4.903620778150551,0.3186453194738184,78.7119442488762,"sa3018581"
"Alberto Hernandez","HOU","DSL",18,193,0.10362694,0.13989637,0.74074074,0.23493976,0.33160622,0.34939759,0.68100381,0.11445783,6.148995801755255,0.26086957,-1.698451519710943,25.020381217203116,-2.765117997922921,0.33872597884637706,90.04834148735527,"sa3018582"
"Lisandro Bonifacio","MIA","DSL",16,163,0.1595092,0.31288344,0.50980392,0.13740458,0.2962963,0.18320611,0.47950241,0.04580153,4.811025236335573,0.2125,-0.2757362397387624,12.174307692079125,-11.292202007742347,0.27111582844345655,51.879499115165586,"sa3018583"
"Josue Briceno","DET","DSL",17,161,0.08074534,0.22981366,0.35135135,0.23448276,0.29813665,0.37241379,0.67055044,0.13793103,2.0194444041595885,0.28301887,-0.7775413629133254,18.467810992566747,-4.710766072901087,0.3200600862503052,79.67620678527616,"sa3018584"
"Abel De Leon","CHC","DSL",17,73,0.1369863,0.36986301,0.37037037,0.19672131,0.32876712,0.29508197,0.62384909,0.09836066,2.1208943391725357,0.33333333,-0.5941723166033626,8.57430320626175,-1.9352379476460257,0.3237360748526168,81.58589495673229,"sa3018585"
"Toby Simmons","MIA","DSL",17,213,0.1314554,0.30985915,0.42424242,0.27222222,0.37558685,0.45,0.82558685,0.17777778,8.877164109080535,0.40178571,1.9267652940470725,37.74500019560772,7.080174636945309,0.3972521958776483,123.08891215898423,"sa3018586"
"Joaan De Jesus","SEA","DSL",17,72,0.15277778,0.27777778,0.55,0.10169492,0.26388889,0.15254237,0.41643126,0.05084745,6.6984675225826065,0.15384615,-0.2893250451888889,3.640480926027776,-6.725093910703181,0.2414305458466212,35.120878324350535,"sa3018587"
